No	TELEX	QNC	CHUNOM	ENG
444	baapj	bập	𤆣	Thudding noise | To strike deep | To slide fast
445	baapj baf baapj beenhf	bập bà bập bềnh	𤆣？𤆣？	xem bập bềnh (láy)
446	baapj baf baapj bomx	bập bà bập bõm	𤆣？𤆣？	xem bập bõm (láy)
447	baapj baf baapj bungf	bập bà bập bùng	𤆣？𤆣𩅛	xem bập bùng (láy)
448	baapj beenhf	bập bềnh	𤆣？	To bob
449	baapj beenhz	bập bênh	𤆣？	Seesaw
450	baapj bej	bập bẹ	𤆣？	To babble, to prattle
451	baapj bomx	bập bõm	𤆣？	Defectively
452	baapj boongf	bập bồng	𤆣？	(ít dùng) như bập bềnh
453	baapj boongx	bập bỗng	𤆣？	Hobbling | Fluctuating
454	baapj bungf	bập bùng	𤆣𩅛	Flickering | Crescendo then diminuendo
455	baaps baz baaps beenhz	bấp ba bấp bênh		xem bấp bênh (láy)
456	baaps beenhz	bấp bênh		Unstable | Uncertain | Wavering, staggering, unsettled | See | saw
457	baatj	bật		To pluck | To recoil, to rebound | To spring, to burst
458	baatj ddenf xanhz	bật đèn xanh	？畑𫕹	Give the green lihgt
459	baatj luwar	bật lửa	？焒	Cigarette | lighter
460	baats	bất	不	Game of 36 cards | (thường dùng làm yếu tố ghép trước trong một số tổ hợp) như không
461	baats anz	bất an	不安	(ít dùng) Without security; unsafe
462	baats baoj ddoongj	bất bạo động	不暴動	Non | violence
463	baats bawngf	bất bằng	不？	Unfair, unjust, unequal
464	baats bieens	bất biến	不變	Immutable
465	baats binhf	bất bình	不平	như bất bằng | Dissatisfied with, discontented with
466	baats binhf ddawngr	bất bình đẳng	不平等	Unequal
467	baats caanf	bất cần	不勤	Don't care
468	baats caanr	bất cẩn	不謹	Careless
469	baats caapj	bất cập	不及	Too late, not in time | Inadequate, insufficient
470	baats canz thieepj	bất can thiệp	不干涉	Non | intervention, non | interference
471	baats chaaps	bất chấp	不慹	In defiance of, regardless of
472	baats chinhs	bất chính	不正	Unrighteous, wrongful, illicit
473	baats chowtj	bất chợt	不？	All of a sudden
474	baats coongj ddais thieenz	bất cộng đái thiên	不共戴天	Mortal, deadly
475	baats coongz	bất công	不公	Unjust, unfair
476	baats coos lieemz sir	bất cố liêm sỉ	不顧廉恥	Lost to shame
477	baats coos lieemz six	bất cố liêm sĩ	不顧廉恥	Lost to shame
478	baats cuws	bất cứ	不據	Any
479	baats ddawcs chis	bất đắc chí	不得志	Disappointed, frustrated, bitter
480	baats ddawcs dix	bất đắc dĩ	不得已	Unavoidable, reluctant, grudging
481	baats ddinhj	bất định	不定	Unstable, unequable
482	baats ddoof	bất đồ	不圖	Suddenly, all of a sudden, unexpectedly
483	baats ddoongf	bất đồng	不同	Uneven, not simultaneous | Different, dissimilar
484	baats ddoongj	bất động	不動	Motionless | Fixed
485	baats ddoongj sanr	bất động sản	不動產	Real estate, real property, immovable property, immovables
486	baats dieetj	bất diệt	不滅	Indefectible, everlasting, undying
487	baats giacs	bất giác	不覺	Suddenly, unexpectedly
488	baats hanhj	bất hạnh	不幸	Unfortunate, unlucky, poor
489	baats haor	bất hảo	不好	Bad
490	baats hieeus	bất hiếu	不孝	Undutiful
491	baats hoaf	bất hòa	不和	In disagreement, at odds with each other
492	baats howpj hieens	bất hợp hiến	不合憲	Anti | constitutional
493	baats howpj lys	bất hợp lý	不合理	Irrational; illogical; unreasonable
494	baats howpj phaps	bất hợp pháp	不合法	Illegal, illicit, illegitimate
495	baats howpj tacs	bất hợp tác	不合作	Non | cooperation
496	baats howpj thowif	bất hợp thời	不合時	ill | timed
497	baats hur	bất hủ	不朽	Immortal
498	baats keer	bất kể	不？	Irrespective of, regardless of | Regardless of everything
499	baats khamz	bất kham	不堪	Restive
500	baats khar triz	bất khả tri	不可知	thuyết bất khả tri Agnosticism
501	baats khuaats	bất khuất	不屈	Undaunted, unyielding, indomitable
502	baats lichj suwj	bất lịch sự	不歷事	Discourteous, rude, indecorous
503	baats lowij	bất lợi	不利	Adverse, unfavourable
504	baats luaanj	bất luận	不論	Any
505	baats luwcj	bất lực	不力	Powerless, helpless, impotent
506	baats luwowngz	bất lương	不良	Dishonest
507	baats lyz thaanz	bất ly thân	不離身	Inseparable
508	baats manx	bất mãn	不滿	(To be) dissatisfied with, (to be) discontented with | (to be) dissatisfied with life in the old society
509	baats minhz	bất minh	不明	Dubious, shady
510	baats nghiax	bất nghĩa	不義	Disloyal
511	baats ngowf	bất ngờ	不？	Sudden, unexpected, unforeseen
512	baats nhaanx	bất nhẫn	不忍	Compassionate, pitying | Rather ruthless, rather heartless
513	baats nhaanz	bất nhân	不仁	Inhumane, unfeeling
514	baats nhaatj	bất nhật	不日	Any day in the future, any coming day impossible to fix
515	baats nhaats	bất nhất	不一	Inconsistent
516	baats nhax	bất nhã	不雅	Rude, impolite
517	baats nhuwowcj	bất nhược	不若	Would rather
518	baats nhuwz ys	bất như ý	不如意	Not according to one's wish, not to one's liking
519	baats phuwowngz trinhf	bất phương trình	不方程	(toán) Inequation
520	baats quas	bất quá	不過	At most
521	baats taanj	bất tận	不盡	Unending
522	baats taats	bất tất	不必	Unnecessary, needless
523	baats taif	bất tài	不才	Incapable
524	baats thuaanj	bất thuận	不順	Unfavourable
525	baats thuwowngf	bất thường	不常	Unusual, extraordinary, special | Changeable
526	baats tieenj	bất tiện	不便	Not convenient, inconvenient, out of place
527	baats tinhr	bất tỉnh	不省	Unconscious, insensible
528	baats tinhr nhaanz suwj	bất tỉnh nhân sự	不省人事	Unconscious, insensible
529	baats trawcs	bất trắc	不測	Unlucky | Knavish (nói về người)
530	baats trij	bất trị	不治	Incurable | Unruly, refractory
531	baats trungz	bất trung	不忠	Disloyal, unfaithful
532	baats tucs	bất túc	不足	Insufficient
533	baats tuwowngf	bất tường	不祥	Ill | omened, ominous
534	baats tuwowngz xaamz	bất tương xâm	不相侵	(Hiệp ước bất tương xâm) Treaty of non reciprocan aggression
535	baats tuwr	bất tử	不死	Immortal | Rash, reckless | All of a sudden
536	baats ddawcs kif tuwr	bất đắc kì tử	不得其死	Rash, reckless | All of a sudden
537	baats tuyeetj	bất tuyệt	不絕	Unending
538	baats xaamz phamj	bất xâm phạm	不侵犯	(Hiệp ước bất xâm phạm) Treaty of non | aggression
539	baats ys	bất ý	不意	Heedless, careless, negligent
540	baauf	bầu	𤃛	Gourd | Ovary | Breastful
541	baauf baauj	bầu bậu		(nói về vẻ mặt) Sagging (with sulks)
542	baauf banj	bầu bạn	蔀伴	Friends
543	baauf bans	bầu bán	蔀？	(mỉa) To elect
544	baauf binhx	bầu bĩnh	𤃛？	Plump, chubby
545	baauf bis	bầu bí	𤃛？	Cucurbit
546	baauf cuwr	bầu cử	蔀舉	Election, vote
547	baauf ddoanf	bầu đoàn	蔀團	Retinue (hàm ý coi khinh)
548	baauf ducj	bầu dục	𤃛？	Kidney (of animals raised for meat) | (dùng phụ sau danh từ) Kidney | shaped, elliptical, oval
549	baauf giacs	bầu giác	𤃛？	Suction cup
550	baauf ruwowuj	bầu rượu	𤃛𨢇	wine | gourd
551	baauf taamz suwj	bầu tâm sự	𤃛心事	Heart
552	baauf trowif	bầu trời	𤃛𡗶	Vault of heaven, firmament
553	baauj	bậu		Door | sill | You, thou (tiếng gọi vợ hay người yêu gái) | To alight (chim), to swarm over (ruồị.)
554	baaus	bấu		To hold fast to with one's fingers | To pinch | To nip off
555	baaus veos	bấu véo		To nip off little by little (in a brazen way)
556	baaus vius	bấu víu		To hold fast to | To lean on (when in distress)
557	baauz	bâu		To swarm round, to swarm over | To crowd about, to mob | Collar (of jacket) | Pocket (of jacket)
558	baayf	bầy		Flock, herd | Gang, band
559	baayf haayf	bầy hầy		dirty
560	baayf nhaayf	bầy nhầy		Slimy | Soft but leathery | Irresolute, dillying | dallying
561	baayf tooiz	bầy tôi		xem bề tôi
562	baayj	bậy		Brazen | Wrong, nonsensical, improper
563	baayj baj	bậy bạ		như bậy
564	baayr	bẩy	𠤩	To prize
565	baays	bấy		Tender, immature, green | Meltingly soft, pulpy | So much | Then
566	baays bas	bấy bá		Meltingly soft
567	baays chaayf	bấy chầy		For long, since long, ever since
568	baays chuwf	bấy chừ		Then
569	baays giowf	bấy giờ	？𣇞	Then, that time
570	baays laauz	bấy lâu	？𥹰	For so long, since that long
571	baays nayz	bấy nay	？𠉞	From then till now
572	baays nhieeuz	bấy nhiêu		So much, that much
573	baayx	bẫy		Trap, snare, pitfall | To trap, to snare, to ensnare, to entrap
574	baayx cof kez	bẫy cò ke		Dog trap
575	baayz	bây	𣊾	(ít dùng; kết hợp hạn chế) Brazen
576	baayz baayr	bây bẩy	？𠤩	violently
577	baayz chuwf	bây chừ	𣊾？	(từ cũ, nghĩa cũ hoặc tiếng địa phương) như bây giờ
578	baayz daiz	bây dai	𣊾？	That long
579	baayz giowf	bây giờ	𣊾𣇞	Now, right now
580	baayz nhieeuz	bây nhiêu	𣊾？	That much, that many
581	bachj	bạch	白|帛	white | With a thud, thuddingly | (dùng để nói với nhà sư) Oh, venerable bonze
582	bachj bieens	bạch biến	白變	(y học) Vitiligo
583	bachj caauf	bạch cầu	白球	Leucocyte
584	bachj chir	bạch chỉ	白芷	(thực vật, dược) Angelica
585	bachj cucs	bạch cúc	白菊	Common daisy
586	bachj cungz	bạch cung	白宮	The white House
587	bachj ddaauf quaanz	bạch đầu quân	白頭軍	Old men's militia
588	bachj ddaauj khaaus	bạch đậu khấu	白豆蔻	Cardamom
589	bachj ddais	bạch đái	白𢃄	Leucorrhoea, the whites
590	bachj ddanf	bạch đàn	白檀	Eucalyptus
591	bachj ddinhz	bạch đinh	白丁	Village nobody
592	bachj duwowngz	bạch dương	白楊	Birch, birch | tree
593	bachj haauf	bạch hầu	白喉	Diphtheria, diphtheritis
594	bachj huyeets	bạch huyết	白血	Lymph
595	bachj huyeets caauf	bạch huyết cầu	白血球	Leucocyte
596	bachj kimz	bạch kim	白金	Platinum
597	bachj lapj	bạch lạp	白蠟	Tallow
598	bachj ngocj	bạch ngọc	白玉	Diamond | spar
599	bachj nhaatj	bạch nhật	白日	Broad daylight
600	bachj phieens	bạch phiến	白片	Heroin
601	bachj quar	bạch quả	白果	(thực) Ginkgo
602	bachj tangj	bạch tạng	白臟	Albinism
603	bachj thoaij	bạch thoại	白話	Pekinese, Mandarin Chinese
604	bachj thor	bạch thỏ	白兎	(văn, cũ) The Moon
605	bachj tuoocj	bạch tuộc		Poulp, poulpe
606	bachj tuyeets	bạch tuyết	白雪	White snow
607	bachj yeens	bạch yến	白燕	Serin, canary bird
608	bachs	bách	百|柏|迫	cypress; cypress | tree | Wooden skiff | Hundred; a hundred and one
609	bachs booj	bách bộ	百步	to go for a stroll, to go for a constitutional, to go for a walk
610	bachs boor	bách bổ	百補	All | round tonic
611	bachs chieens	bách chiến	迫戰	Battle | tested, battle | seasoned
612	bachs chuz nieenz	bách chu niên	百周年	(cũ) Centenery
613	bachs coongz	bách công	百工	(cũ) như bách nghệ
614	bachs hoas	bách hóa	百貨	All kinds of goods
615	bachs howpj	bách hợp	百合	Lily
616	bachs khoaz	bách khoa	百科	Encyclopaedic; polytechnic
617	bachs khoaz toanf thuwz	bách khoa toàn thư	百科全書	(cũ) Encyclopaedia
618	bachs ngheej	bách nghệ	百藝	Arts and crafts
619	bachs nieenz giaiz laox	bách niên giai lão	百年偕老	To live together one hundred years old
620	bachs phaanz	bách phân	百分	Centesimal, centigrade
621	bachs sinhz	bách sinh	百牲	(Lễ bách sinh) (lịch sử) Hecatomb
622	bachs tans	bách tán	柏？	(thực vật) Araucaria
623	bachs thanhz	bách thanh	百聲	Shrike (chim)
624	bachs thaor	bách thảo	百草	All plants as a whole
625	bachs thawngs	bách thắng	百勝	xem bách chiến
626	bachs thus	bách thú	百獸	All animals as a whole
627	bachs tinhs	bách tính	百姓	The common people, the masses
628	bacj	bạc	薄|泊|鉑|箔|膊	Silver | Piastre | Money gamble
629	bacj acs	bạc ác	薄惡	Ruthless, uncompassionate
630	bacj beox	bạc bẽo	萡？	Ungrateful, thankless, unrewarding
631	bacj ddaix	bạc đãi	薄待	To slight, to ill | treat
632	bacj haf	bạc hà	薄荷	Mint, peppermint
633	bacj hanhj	bạc hạnh	薄幸	bad luck; misfortune
634	bacj mauf	bạc màu	薄牟	Impoverished, exhausted, overcropped
635	bacj meenhj	bạc mệnh	薄命	(cũ) Poor fate; unhappy hot
636	bacj nghiax	bạc nghĩa	薄義	ungrateful; thankless
637	bacj nhacj	bạc nhạc	薄？	Stringy meat
638	bacj nhuwowcj	bạc nhược	薄弱	Feeble
639	bacj phaanj	bạc phận	薄分	Unhappy fate; misfortune
640	bacj phauz	bạc phau	萡𤽵	Spotlessly white
641	bacj phowz	bạc phơ	萡萉	All white; snowy
642	bacj tinhf	bạc tình	薄情	Disloyal, unfaithful in love
643	bacs	bác	剝|駁|博|搏	Uncle, one's father's sister | in | law | Uncle, aunt | You old boy | to scramble | to refute, to reject, to turn down, to dismiss
644	bacs ais	bác ái	博愛	Humane
645	bacs ber	bác bẻ	駁𢯏	to criticize
646	bacs coor	bác cổ	博古	Archaeologic
647	bacs coor thoongz kimz	bác cổ thông kim	博古通今	To have a wide knowledge (of things past and present), to be erudite
648	bacs hocj	bác học	博學	Scholarly, learned | A scholarly, a learned man, a savant
649	bacs six	bác sĩ	博士	Doctor, physician
650	bacs vaatj	bác vật	博物	Engineer; erudition
651	baf	bà	婆	Grandmother | Madam, lady
652	baf baz	bà ba	妑𠀧	South Vietnamese pajamas
653	baf booz	bà bô	妑？	(thông tục) Mother
654	baf chawngf	bà chằng	妑？	Ogress
655	baf chij	bà chị	妑姉	One's elder sister | You (when adressing a woman older than oneself)
656	baf chur	bà chủ	妑主	Mistress
657	baf conz	bà con	妑𡥵	Relative, relation | Neighbour, fellow..
658	baf coots	bà cốt	妑骨	xem cốt
659	baf cooz	bà cô	妑姑	Spinster | Dead nubile girl | Termagant, scold
660	baf cuj	bà cụ	妑？	Old lady; old woman
661	baf ddoongf	bà đồng	妑童	như bà cốt
662	baf ddowx	bà đỡ	妑？	Midwife
663	baf giawnf	bà giằn		trăm thứ bà giằn Odds and ends
664	baf giaz	bà gia	婆家	Mother | in | law
665	baf hoangf	bà hoàng	妑皇	Princess
666	baf laz moonz	bà la môn	婆羅門	(tôn giáo) Brahman
667	baf lowns	bà lớn	妑𣁔	Madam
668	baf muj	bà mụ	妑𠋦	Village midwife | Goddess believed to give shape to and protect babies
669	baf nhacj	bà nhạc	妑岳	Mother | in | law
670	baf phuwowcs	bà phước	妑？	Sister, sister of charity, catholic nun
671	baf trer	bà trẻ	妑𥘷	Grandfather's concubine | Grandaunt
672	baf vaix	bà vãi	妑？	Buddhist nun
673	baf xowf	bà xờ	妑？	(địa phương) như bà phước
674	baif	bài	掰|擺|排|牌	Tag, tablet | Card, card | game | Resort, course of action | Lesson
675	baif baayz	bài bây	？𣊾	Brazen
676	baif bacj	bài bạc	牌？	(khẩu ngữ) như cờ bạc
677	baif bacs	bài bác		To disparage, to run down
678	baif banr	bài bản	排本	Ad hoc text | (khẩu ngữ) Method
679	baif baos	bài báo	排報	Article
680	baif binhf luaanj	bài bình luận	排評論	Commentary
681	baif binhz boos traanj	bài binh bố trận	排兵布陣	To array troops, to dispose troops in battle formation
682	baif caz	bài ca	排歌	Song, hymn
683	baif dieenx vawnz	bài diễn văn	排演文	speech; address
684	baif giair	bài giải	排解	Key, solution
685	baif hats	bài hát	排？	Song
686	baif hocj	bài học	排學	lesson
687	baif khoas	bài khoá	排課	Text
688	baif lamf	bài làm	排爫	task, exercise, theme
689	baif las	bài lá	排𦲿	Playing | card
690	baif luaanj	bài luận	排論	Essay; composition
691	baif mucj	bài mục	排目	Section (in a syllabus)
692	baif ngaf	bài ngà	牌玡	Ivory badge (worn by mandarins, indicating their grades)
693	baif ngoaij	bài ngoại	排外	Xenophobic
694	baif taapj	bài tập	排習	Exercise
695	baif thowz	bài thơ	排疎	Poem
696	baif thuoocs	bài thuốc	排𧆄	Remedy
697	baif tieets	bài tiết	排泄	To excrete
698	baif toans	bài toán	排算	(mathematical) problem
699	baif tris	bài trí	排置	To dispose, to arrange, to decorate
700	baif truwf	bài trừ	排除	To abolish, to eradicate
701	baif vij	bài vị	牌位	Ancestral tablet
702	baif vowr	bài vở	排？	Class materials, task | Newspaper matter, copy
703	baif xichs	bài xích	排斥	To boycott, to ostracise
704	baif xuaats	bài xuất	排出	To excrete, to eliminate
705	baij	bại	敗	Paralysed, crippled | In a state of near exhaustion, almost exhausted | To fail | To be worsted, to be defeated
706	baij binhz	bại binh	敗兵	Routed troops
707	baij hoaij	bại hoại	敗壞	Degenerate, corrupt
708	baij lieetj	bại liệt	敗劣	Paralyzed, crippled
709	baij looj	bại lộ	敗露	To come to light, to be revealed, to be out
710	baij quaanz	bại quân	敗軍	Routed army, routed troops
711	baij sanr	bại sản	敗產	Ruined
712	baij taaur	bại tẩu	敗走	Inrout; routed
713	baij traanj	bại trận	敗陣	Defeated in war
714	baij tuwowngs	bại tướng	敗將	Defeated general
715	baij vongz	bại vong	敗亡	Defeated and wiped out
716	bair hoair	bải hoải	𨇑𢙇	Limp with weariness, drooping from exhaustion
717	bais	bái	扒|拜	To kotow; to bow; to salute
718	bais bieetj	bái biệt	拜別	To take leave by kowtowing
719	bais ddaps	bái đáp	拜答	To answer respectfully
720	bais linhx	bái lĩnh	拜領	To receive with a kowtow
721	bais phucj	bái phục	拜服	to admire; to bow in admiration
722	bais taj	bái tạ	拜謝	To thank with a kowtow
723	bais thaanf giaos	bái thần giáo	拜神教	Idolatry
724	bais toor	bái tổ	拜祖	To make a thanksgiving to ancestors, to kowtow to the memories of ancestors | To give a kowtow, to give a salute
725	bais vaatj giaos	bái vật giáo	拜物教	Fetishism
726	bais vongj	bái vọng	拜望	(cũ) Bow one's repect to (a king) from a distance
727	bais yeets	bái yết	拜謁	Respect | paying audience
